Point,X(Minutes),Y(Counts),Analyte
493,8.26,1346.311157,7mer
494,8.28,1353.948853,7mer
495,8.29,1340.144531,7mer
496,8.31,1294.622559,7mer
497,8.33,1229.094971,7mer
498,8.34,1171.725342,7mer
499,8.36,1135.044922,7mer
500,8.38,1106.789795,7mer
501,8.39,1074.115234,7mer
502,8.41,1050.645508,7mer
503,8.43,1063.11084,7mer
504,8.44,1117.366211,7mer
505,8.46,1189.15564,7mer
506,8.47,1246.716431,7mer
507,8.49,1273.966797,7mer
508,8.51,1270.805176,7mer
509,8.52,1243.331055,7mer
510,8.54,1197.100586,7mer
511,8.56,1150.561279,7mer
512,8.57,1138.621582,7mer
513,8.59,1186.435425,7mer
514,8.61,1275.748901,7mer
515,8.62,1352.979736,7mer
516,8.64,1375.130859,7mer
517,8.66,1342.2146,7mer
518,8.67,1290.343994,7mer
519,8.69,1255.66748,7mer
520,8.71,1248.606323,7mer
521,8.72,1247.775757,7mer
522,8.74,1222.887573,7mer
523,8.76,1159.795776,7mer
524,8.77,1079.825684,7mer
525,8.79,1027.065674,7mer
526,8.81,1035.309814,7mer
527,8.82,1102.676758,7mer
528,8.84,1194.901367,7mer
529,8.86,1272.077759,7mer
530,8.87,1307.114502,7mer
531,8.89,1292.666138,7mer
532,8.91,1243.805298,7mer
533,8.92,1193.133423,7mer
534,8.94,1171.962524,7mer
535,8.96,1183.077881,7mer
536,8.97,1205.28772,7mer
537,8.99,1219.25708,7mer
538,9.01,1218.996704,7mer
539,9.02,1201.445923,7mer
540,9.04,1168.047485,7mer
541,9.06,1134.49353,7mer
542,9.07,1130.142944,7mer
543,9.09,1168.460571,7mer
544,9.11,1225.650757,7mer
545,9.12,1257.152344,7mer
546,9.14,1234.862061,7mer
547,9.16,1163.610962,7mer
548,9.17,1068.198975,7mer
549,9.19,970.6220093,7mer
550,9.21,882.2644653,7mer
551,9.22,802.7496338,7mer
552,9.24,725.281189,7mer
553,9.26,648.0444336,7mer
554,9.27,574.9061279,7mer
555,9.29,516.7412109,7mer
556,9.31,487.6354675,7mer
557,9.32,499.1517029,7mer
558,9.34,553.3088989,7mer
559,9.35,634.6912842,7mer
560,9.37,716.5788574,7mer
561,9.39,778.6221313,7mer
562,9.4,819.0517578,7mer
563,9.42,849.4077759,7mer
564,9.44,880.4058838,7mer
565,9.45,912.5928955,7mer
566,9.47,939.8363647,7mer
567,9.49,958.973877,7mer
568,9.5,978.3894043,7mer
569,9.52,1015.318298,7mer
570,9.54,1077.695313,7mer
571,9.55,1149.671753,7mer
572,9.57,1196.43042,7mer
573,9.59,1188.377563,7mer
574,9.6,1123.443481,7mer
575,9.62,1029.208618,7mer
576,9.64,954.3447266,7mer
577,9.65,973.1834717,7mer
578,9.67,1235.382202,7mer
579,9.69,2067.424805,7mer
580,9.7,4024.093506,7mer
581,9.72,7721.085449,7mer
582,9.74,13321.34473,7mer
583,9.77,19949.70703,7mer
584,9.78,25669.46875,7mer
585,9.8,28378.79492,7mer
586,9.83,27104.93164,7mer
587,9.86,22614.45508,7mer
588,9.88,16808.18359,7mer
589,9.91,11506.49512,7mer
590,9.94,7638.583496,7mer
591,9.96,5231.167969,7mer
592,9.97,3859.070068,7mer
593,9.99,3069.771973,7mer
594,10.01,2573.443848,7mer
595,10.02,2249.721924,7mer
596,10.04,2062.333252,7mer
597,10.06,1984.120361,7mer
